GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A MUY BAJOS EN GRASA,Medallón de filete de res,30,g,30,30,36,7.2,0.8,0,14.1,41.7,2.7,0.5,18,5.7
A.O.A MUY BAJOS EN GRASA,Mejillones  sin concha cocidos,25,g,25,25,43,5.9,1.1,1.9,14.1,22.6,8.2,1.7,92.4,22.4
A.O.A MUY BAJOS EN GRASA,Mejillones  sin concha crudos,1/3,taza,50,50,43,5.9,1.1,1.8,13.9,23.8,12.9,2.0,141.6,22.2
A.O.A MUY BAJOS EN GRASA,Menudencia de pollo cruda,35,g,35,35,43,6.3,1.6,0.6,91.7,930.0,3.5,2.1,27.0,19.3
A.O.A MUY BAJOS EN GRASA,Menudencias de pavo,25,g,25,25,42,6.7,1.3,0.5,104.5,448.8,3.3,1.7,14.8,23.4
A.O.A MUY BAJOS EN GRASA,Menudencias de pollo cocidas,25,g,25,25,40,6.8,1.1,0.1,110.5,438.3,3.5,1.8,16.8,14.9
A.O.A MUY BAJOS EN GRASA,Merluza,85,g,85,43,33,7.2,0.4,0.0,19.9,4.3,5.2,0.3,33.8,6.1
A.O.A MUY BAJOS EN GRASA,Merluza fileteada,45,g,45,45,34,7.5,0.5,0.0,20.7,4.5,5.4,0.4,35.1,6.3
A.O.A MUY BAJOS EN GRASA,Mero cocido,30,g,30,30,35,7.5,0.4,0.0,14.1,15.0,6.3,0.3,15.9,14.0
A.O.A MUY BAJOS EN GRASA,Mero crudo,80,g,80,41,34,7.9,0.3,0.0,ND,20.4,2.9,ND,ND,5.7
A.O.A MUY BAJOS EN GRASA,Mero crudo fileteado,40,g,40,40,34,7.7,0.3,0.0,ND,20.0,2.8,ND,ND,5.6
A.O.A MUY BAJOS EN GRASA,Milanesa de avestruz,35,g,35,35,31,7.1,0.4,0.0,21.0,ND,ND,ND,ND,6.6
A.O.A MUY BAJOS EN GRASA,Milanesa de pollo,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,5.3
A.O.A MUY BAJOS EN GRASA,Milanesa de res,30,g,30,30,36,7.2,0.8,0.0,14.1,41.7,2.7,0.5,18.0,5.7
A.O.A MUY BAJOS EN GRASA,Mojarra cruda fileteada,35,g,35,35,34,7.0,0.6,0.0,17.5,0.0,3.5,0.2,18.2,14.6
A.O.A MUY BAJOS EN GRASA,Mojarra tilapia cruda,1/3,pieza,73,37,35,7.4,0.6,0.0,18.3,0.0,3.7,0.2,19.1,15.3
A.O.A MUY BAJOS EN GRASA,Molida de pollo,30,g,30,30,34,7.0,0.5,0.0,17.4,2.4,3.6,0.2,20.4,3.6
A.O.A MUY BAJOS EN GRASA,Molleja de pollo cocida,25,g,25,25,37,7.6,0.7,0.0,92.5,0.0,4.3,0.8,14.0,10.3
