GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico   (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
FRUTAS,Agua de coco,1 1/2,taza,360,360,65,1.1,0.7,16.9,0.0,0.0,7.2,0.0,4.3,529.2,0.0,ND,ND
FRUTAS,Albaricoque en almibar,1/4,taza,65,65,54,0.4,0.1,13.8,1.8,94.3,2.0,1.3,0.2,92.3,12.0,ND,ND
FRUTAS,Albaricoque en mitades enlatados en jugo,1/2,taza,122,122,59,0.8,0.1,15.1,2.0,103.5,6.0,2.5,0.4,201.5,13.1,ND,ND
FRUTAS,Albaricoque en mitades enlatados en agua,1,taza,227,227,61,1.6,0.4,14.5,3.6,167.0,7.0,5.1,0.7,349.0,10.9,ND,ND
FRUTAS,Anona,130,g,130,59,59,1.0,0.4,14.7,2.0,0.0,5.3,0.0,0.4,223.5,0.0,ND,ND
FRUTAS,Arándano fresco,1 1/2,taza,150,147,68,0.6,0.2,17.9,6.8,7.4,25.0,8.0,0.7,129.4,5.9,ND,ND
FRUTAS,Arándano seco con azucar,1/2,taza,5,5,51,0.0,0.3,13.6,1.0,0.0,0.0,0.0,0.1,6.5,10.7,ND,ND
FRUTAS,Blueberries,3/4,taza,109,107,61,0.7,0.4,15.4,2.6,0.0,13.9,6.4,0.2,94.9,10.6,,ND
FRUTAS,Blueberries congeladas,3/4,taza,116,116,59,0.5,0.8,14.2,3.2,1.5,9.0,8.1,0.2,63.0,9.8,ND,ND
FRUTAS,Blueberries congeladas con azucar,1/4,taza,58,58,47,0.2,0.1,12.6,1.3,0.5,3.5,4.0,0.2,34.5,11.4,ND,ND
FRUTAS,Blueberries en almibar,1/4,taza,64,64,56,0.4,0.2,14.1,1.0,1.3,0.8,1.3,0.2,25.5,13.1,ND,ND
FRUTAS,Breba,5,pieza,200,192,63,1.0,0.2,16.1,3.3,71.0,1.9,0.0,4.4,372.5,0.0,ND,ND
FRUTAS,Caimito blanco o morado,1,pieza,200,130,68,1.7,2.2,12.2,3.8,0.0,15.6,0.0,5.7,0.0,0.0,ND,ND
FRUTAS,Calabaza melón,130,g,130,98,58,2.8,0.9,11.2,1.3,36.1,23.4,0.0,2.6,0.0,0.0,ND,ND
FRUTAS,Cana de azúcar,250,g,250,100,64,0.5,0.5,17.2,1.9,0.0,8.0,0.0,0.7,0.0,0.0,ND,ND
FRUTAS,Capulín,3,taza,480,96,63,1.4,0.0,16.1,0.6,25.0,12.5,0.0,1.3,0.0,0.0,ND,ND
FRUTAS,Carambolo o Carambola,1 1/2,pieza,191,171,53,1.8,0.6,11.5,4.8,83.7,36.5,24.3,0.4,279.5,6.8,ND,ND
FRUTAS,Cereza,20,pieza,136,88,56,0.9,0.2,14.7,2.1,18.2,6.5,3.9,0.4,197.6,11.3,22.0,3.2
FRUTAS,Cereza congeladas,1,taza,155,155,71,1.4,0.7,17.1,2.5,68.0,3.0,7.8,0.8,192.0,14.0,ND,ND
FRUTAS,Cerezas en almibar,1/4,taza,64,64,58,0.5,0.1,14.9,0.7,22.8,1.3,5.1,0.8,59.8,14.5,ND,ND
FRUTAS,Cerezas maschino enlatadas,4,pieza,20,20,64,0.0,0.0,16.8,1.2,0.0,0.0,0.0,0.2,8.0,15.6,ND,ND
FRUTAS,Chabacano,4,pieza,140,126,61,1.8,0.5,14.0,2.5,329.3,13.1,10.7,0.7,373.2,11.6,57.0,8.0
FRUTAS,Chagua,150,g,150,150,114,15.8,1.3,14.0,4.7,0.2,6.8,0.0,4.6,0.0,0.0,ND,ND
FRUTAS,Cherimoya picada,1/2,taza,78,78,58,1.3,0.5,13.8,1.8,3.0,6.0,14.1,0.2,210,0.0,ND,ND
FRUTAS,Chicozapote,1/2,pieza,85,75,62,0.3,0.8,14.9,4.0,4.4,11.0,10.6,0.6,144.3,0.0,40.0,6.0
FRUTAS,Chirimoya,1/3,pieza,112,56,53,0.7,0.2,13.4,1.2,0.6,5.0,0.0,0.3,0.0,0.0,ND,ND
FRUTAS,Ciricote,300,g,30,90,59,1.1,0.1,15.0,1.4,25.2,9.9,0.0,1.7,0.0,0.0,ND,ND
FRUTAS,Ciruela criolla roja o amarilla,3,pieza,198,158,73,1.1,0.4,18.1,2.2,50.4,14.4,2.4,0.2,273.6,0.0,39.0,7.1
FRUTAS,Ciruela negra,1/2,pieza,83,66,50,0.7,0.0,12.5,1.3,ND,4.1,ND,0.0,68.4,10.6,ND,ND
FRUTAS,Ciruela pasa deshuesada,7,pieza,56,56,60,0.5,0.1,15.7,1.7,140.0,0.0,0.0,0.4,0.0,14.0,29.0,4.6
FRUTAS,Cocktail de frutas en almibar,1/4,taza,62,62,44,0.3,0.1,11.7,1.1,8.8,1.3,1.9,0.2,55.8,10.6,ND,ND
FRUTAS,Cocktail de frutas enlatado en agua,1/2,taza,119,119,38,0.5,0.1,10.1,1.2,15.5,2.5,3.6,0.3,111.5,8.9,ND,ND
FRUTAS,Cocktail de frutas enlatado en jugo de frutas,1/2,taza,119,119,55,0.6,0.0,14.1,1.2,18.0,3.0,3.6,0.3,112.5,12.9,ND,ND
FRUTAS,Cocoyol,170,g,170,43,74,2.5,3.8,9.5,2.1,9.8,49.3,0.0,1.9,0.0,0.0,ND,ND
FRUTAS,Coloc,60,g,60,60,61,1.1,0.3,15.4,0.4,0.4,14.8,0.0,3.2,0.0,0.0,ND,ND
FRUTAS,Cundeamor,450,g,450,450,32,3.9,0.7,15.9,5.6,0.3,230.0,0.0,7.7,0.0,0.0,ND,ND
FRUTAS,Dátil seco,2,pieza,17,17,46,0.3,0.0,12.4,1.1,0.8,0.0,2.0,0.2,108.2,11.0,103.0,12.8
FRUTAS,Durazno amarillo,2,pieza,174,153,60,1.4,0.2,14.6,2.3,82.7,10.6,5.3,0.2,301.0,12.8,42.0,6.1
FRUTAS,Durazno con azúcar congelado,1/4,taza,63,63,59,0.4,0.1,15.0,1.1,8.8,59.0,1.9,0.2,81.3,13.9,ND,ND
FRUTAS,Durazno en almibar,1/2,taza,126,126,68,0.6,0.1,18.3,1.7,22.5,3.0,3.8,0.5,121.5,16.7,ND,ND
FRUTAS,Durazno enlatado en agua,1,taza,244,244,59,1.1,0.1,14.9,3.2,66.0,7.0,7.3,0.8,242.0,11.7,ND,ND
FRUTAS,Durazno enlatado en jugo,1/2,taza,125,125,55,0.8,0.1,14.5,1.6,24.0,4.5,3.8,0.3,160.0,12.9,ND,ND
FRUTAS,Durazno prisco,3,pieza,150,132,51,1.2,0.1,12.5,2.0,46.2,13.2,0.0,0.4,266.6,11.1,ND,ND
FRUTAS,Frambuesa,1,taza,123,123,64,1.5,0.8,14.7,8.0,6.0,31.0,32.0,0.7,187.0,5.4,ND,ND
