GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (mg)
A.O.A.BAJO EN GRASA,Milanesa de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Milanesa de ternera,35,g,35,35,55,6.9,2.8,0.0,31.5,0,3.9,1.1,31.5,5.5
A.O.A.BAJO EN GRASA,Molida de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,9.8
A.O.A.BAJO EN GRASA,Molida de res,30,g,30,30,54,6.2,3.0,0.0,19.5,1.8,3.6,0.9,19.5,5.7
A.O.A.BAJO EN GRASA,Molida de sirloin,25,g,25,25,51,7.6,2.0,0.0,22.3,0.0,2.8,0.8,16.5,4.6
A.O.A.BAJO EN GRASA,Molida especial,30,g,30,30,54,6.2,3.0,0.0,19.5,1.8,3.6,0.9,19.5,5.7
A.O.A.BAJO EN GRASA,Molida regular de res (10% grasa),30,g,30,30,54,6.2,3.0,0.0,19.5,1.8,3.6,0.9,19.5,5.7
A.O.A.BAJO EN GRASA,Muslo de pollo crudo sin piel,1/2,pieza,60,45,54,8.8,1.8,0.0,37.4,9.0,4.5,0.5,38.7,6.1
A.O.A.BAJO EN GRASA,Ostión cocido,35,g,35,35,57,6.6,1.6,3.5,35.0,51.1,5.8,3.2,74.1,53.9
A.O.A.BAJO EN GRASA,Ostión crudo,75,g,75,75,61,7.1,1.7,3.7,37.5,60.9,6.2,3.8,79.4,57.8
A.O.A.BAJO EN GRASA,Ostión cultivado,9,pieza,126,126,75,6.6,2.0,6.9,31.5,10.5,55.5,7.3,225.0,80.3
A.O.A.BAJO EN GRASA,Ostión cultivado cocido,9,pieza,88,88,70,6.1,1.9,6.4,32.9,16.4,49.3,6.8,143.5,68.4
A.O.A.BAJO EN GRASA,Ostión en jugo,70,g,70,70,57,6.6,1.6,3.5,35.0,56.8,5.8,3.6,74.1,53.90
A.O.A.BAJO EN GRASA,Ostión enlatado,100,g,100,100,69,7.1,2.5,3.9,55.3,90.6,44.7,6.7,111.8,77.50
A.O.A.BAJO EN GRASA,Pámpano,65,g,65,33,55,6.2,3.1,0.0,16.3,0.0,5.5,0.0,15.3,11.9
A.O.A.BAJO EN GRASA,Pámpano cocido,25,g,25,25,53,5.9,3.0,0.0,15.9,9.1,10.9,0.2,19.1,11.7
A.O.A.BAJO EN GRASA,Pámpano fileteado,35,g,35,35,60,6.7,3.3,0.0,17.5,0.0,6.0,0.0,16.5,12.8
A.O.A.BAJO EN GRASA,Pancita de puerco,35,g,35,35,55,5.8,3.4,0.0,67.6,0.0,3.5,0.8,18.2,9.0
A.O.A.BAJO EN GRASA,Pasta de anchoas,4,cucharada,28,28,56,5.6,3.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0
A.O.A.BAJO EN GRASA,Pasta de camarón,30,g,30,30,54,6.2,2.8,0.5,0.0,0.0,0.0,0.1,0.0,0.0
A.O.A.BAJO EN GRASA,Pasta de langosta,4,cucharada,28,28,52,6.0,2.8,0.4,0.0,0.0,20.0,0.4,0.0,0.0
A.O.A.BAJO EN GRASA,Pastrami de pavo,2,rebanada,42,42,59,7.7,2.6,0.7,22.8,0.0,3.7,0.7,439.2,6.8
A.O.A.BAJO EN GRASA,Pato de crianza,60,g,60,39,51,7.1,2.3,0.0,30.0,9.4,4.3,0.9,28.9,5.4
A.O.A.BAJO EN GRASA,Pavo,45,g,45,36,57,7.3,2.8,0.0,26.0,0.7,5.3,0.5,23.1,13.1
A.O.A.BAJO EN GRASA,Pavo entero,45,g,45,36,57,7.3,2.8,0.0,26,0.7,5.3,0.5,23.1,11.7
A.O.A.BAJO EN GRASA,Pechuga de pollo con piel,35,g,35,30,55,6,3.3,0.0,19.9,11.6,3.3,0.2,19.3,4.9
A.O.A.BAJO EN GRASA,Pescado blanco,75,g,75,39,52,7.4,2.3,0.0,23.4,14.2,10.1,0.1,19.7,5.5
A.O.A.BAJO EN GRASA,Pescado blanco cocido,30,g,30,30,52,7.3,2.3,0.0,22.9,11.6,9.9,0.1,19.4,4.2
A.O.A.BAJO EN GRASA,Pescado blanco fileteado,35,g,35,35,47,6.7,2.1,0.0,21.0,12.6,9.1,0.1,17.9,4.4
A.O.A.BAJO EN GRASA,Pescuezo de pollo sin piel,125,pieza,125,38,58,6.6,3.3,0.0,31.1,16.5,10.1,0.8,30.4,4.5
A.O.A.BAJO EN GRASA,Pescuezo de res,50,g,50,33,50,6.7,2.4,0.0,19.8,37.7,1.6,0.6,25.4,6.1
A.O.A.BAJO EN GRASA,Pierna de carnero,50,g,50,40,54,7.6,2.4,0.0,26.0,0.0,2.8,0.9,30.0,15.2
A.O.A.BAJO EN GRASA,Pierna de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Pierna de cordero,30,g,30,26,49,7.2,2.0,0.0,22.7,0.0,2.0,0.5,17.3,2.7
A.O.A.BAJO EN GRASA,Pierna de pollo cin piel cocida,1/4,pieza,45,26,47,6.7,2.1,0.0,ND,ND,ND,ND,ND,6.8
A.O.A.BAJO EN GRASA,Pierna de pollo cin piel cruda,1/3,pieza,76,43,52,8.7,1.6,0.0,34.6,7.8,4.8,0.4,37.2,5.8
A.O.A.BAJO EN GRASA,Pierna de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Pulpa de cerdo,40,g,40,40,56,7.9,2.5,0.0,26.0,0.4,2.4,0.5,32.8,11.4
A.O.A.BAJO EN GRASA,Pulpa de ternera,40,g,40,38,59,7.5,3.0,0.0,34.2,0.0,4.2,1.1,34.2,5.9
A.O.A.BAJO EN GRASA,Queso cheddar bajo en grasa,30,g,30,30,53,7.4,2.1,0.5,6.4,19.3,126.4,0.1,186.4,4.4
A.O.A.BAJO EN GRASA,Queso cotage cremoso,3,cucharada,54,54,56,6.8,2.5,1.5,7.7,25.1,32.8,0.1,217.9,4.9
A.O.A.BAJO EN GRASA,Queso de soya,2,rebanada,56,56,84,7.0,4.6,3.8,0.0,2.0,106.0,0.0,12.0,0.0
A.O.A.BAJO EN GRASA,Queso fresco,40,g,40,40,58,6.1,2.8,2.0,0.0,28.0,273.6,0.1,0.0,3.6
