GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Vitamina A     (µg RE),Acido Ascórbico (mg),Acido Fólico (µg),Hierro NO HEM (mg),Potasio (mg),Indice glicémico,Carga glicémica
VERDURAS,Chile poblano,1/2,pieza,40,32,15,0.8,0.2,3.3,0.1,5.1,116.5,7.4,1.1,108.8,ND,ND
VERDURAS,Chiles secos,10,g,10,7,23,0.8,0.7,4.3,0.0,124.6,5.2,0.0,0.4,0.0,ND,ND
VERDURAS,Cilantro picado crudo,2,taza,120,120,28,2.6,0.6,4.4,3.4,404.4,32.4,74.4,2.1,625.2,ND,ND
VERDURAS,Clavito (hongo) crudo,1,taza,75,71,28,4.3,0.4,3.8,1.1,0.0,3.8,0.0,1.5,0.0,ND,ND
VERDURAS,Col cocida picada,1/2,taza,75,75,17,1.0,0.0,4.1,1.4,3.0,28.1,22.5,0.1,147.0,ND,ND
VERDURAS,Col cruda picada,2,taza,140,112,27,1.4,0.2,6.0,2.6,6.7,47.0,63.8,0.6,275.2,ND,ND
VERDURAS,Col morada cruda picada,1,taza,70,56,17,0.8,0.1,4.1,1.2,31.4,31.9,10.1,0.4,136.1,ND,ND
VERDURAS,Colesita de Bruselas cocida,3,pieza,63,63,23,1.6,0.3,4.5,1.6,24.6,39.1,37.8,0.8,199.5,ND,ND
VERDURAS,Coliflor cocida,1,taza,125,125,28,2.3,0.6,5.1,2.9,1.3,55.4,55.0,0.4,177.4,ND,ND
VERDURAS,Coliflor cruda,2,taza,200,80,20,1.6,0.1,4.2,2.0,0.8,37.1,45.6,0.4,242.4,ND,ND
VERDURAS,Coliflor verde cocida,1/2,taza,68,68,22,2.1,2.1,4.2,2.2,4.7,49.0,27.7,0.5,187.7,ND,ND
VERDURAS,Coliflor verde cruda,2,taza,128,78,24,2.3,2.3,4.8,2.5,6.2,68.8,44.5,0.6,234.2,ND,ND
VERDURAS,Colinabo crudo,90,g,90,66,22,1.1,1.1,4.1,1.4,0.3,40.7,ND,0.3,230.0,ND,ND
