GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg)
ALIMENTOS LIBRES EN ENERGIA,Orégano troceado,1,cucharadita,2,2,6,0.2,0.2,1.3,0.0
ALIMENTOS LIBRES EN ENERGIA,Paprika,1,cucharadita,2,2,6,0.3,0.3,1.1,1.0
ALIMENTOS LIBRES EN ENERGIA,Pepsi de dieta,1,lata,355,355,4,0.0,0.0,0.0,34.5
ALIMENTOS LIBRES EN ENERGIA,Pepsi Max,1,lata,355,355,4,0.0,0.0,0.0,34.5
ALIMENTOS LIBRES EN ENERGIA,Perejil deshidratado,1,cucharada,3,3,9,0.6,0.0,1.5,15.0
ALIMENTOS LIBRES EN ENERGIA,Pimentón,1,cucharadita,2,2,6,0.3,0.3,1.1,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta,1,cucharadita,2,2,5,0.2,0.1,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta blanca,1,cucharadita,2,2,6,0.2,0.0,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta blanca en polvo,1,cucharadita,2,2,6,0.2,0.0,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta blanaca entera,1,cucharadita,4,4,9,0.4,0.2,2.3,1.8
ALIMENTOS LIBRES EN ENERGIA,Pimienta blanaca molida,1,cucharadita,2,2,6,0.2,0.0,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta de cayena,1,cucharadita,2,2,6,0.2,0.3,1.1,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta de tabasco,1,cucharadita,2,2,6,0.2,0.3,1.1,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta gorda,1,cucharadita,4,4,9,0.4,0.2,2.3,1.8
ALIMENTOS LIBRES EN ENERGIA,Pimienta molida,1,cucharadita,2,2,5,0.2,0.1,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta negra,1,cucharadita,2,2,5,0.2,0.1,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta negra en polvo,1,cucharadita,2,2,5,0.2,0.1,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta negra entera,1,cucharadita,4,4,9,0.4,0.2,2.3,1.8
ALIMENTOS LIBRES EN ENERGIA,Pimienta nagra molida,1,cucharadita,2,2,5,0.2,0.1,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta roja,1,cucharadita,2,2,6,0.2,0.3,1.1,1.0
ALIMENTOS LIBRES EN ENERGIA,Pimienta verde,1,cucharadita,2,2,6,0.2,0.0,1.4,0.0
ALIMENTOS LIBRES EN ENERGIA,Raíz de jengibre,1,cucharadita,2,2,1,0.0,0.0,0.3,0.3
ALIMENTOS LIBRES EN ENERGIA,Raíz fuerte,5,g,5,5,3,0.1,0.0,0.7,0.6
ALIMENTOS LIBRES EN ENERGIA,Raja de canela,1/3,pieza,2,2,6,0.1,0.1,1.8,1.2
ALIMENTOS LIBRES EN ENERGIA,Ralladura de limón,5,cucharadita,10,10,5,0.2,0.0,1.7,0.0
ALIMENTOS LIBRES EN ENERGIA,Ralladura de naranja,5,cucharadita,10,10,10,0.2,0.0,2.5,0.0
ALIMENTOS LIBRES EN ENERGIA,Red Bull sugar free*,1/2,lata,125,125,6,0.3,0.1,0.9,105.0
ALIMENTOS LIBRES EN ENERGIA,Refresco de dieta,1,lata,355,355,1,0.0,0.0,0.1,5.7
ALIMENTOS LIBRES EN ENERGIA,Refresco en polvo sin azúcar,1,sobre,1,1,5,0.0,0.0,0.0,2.0
ALIMENTOS LIBRES EN ENERGIA,Romero,1,cucharadita,3,3,11,0.2,0.5,2.0,1.5
ALIMENTOS LIBRES EN ENERGIA,Romero deshidratado,1,cucharadita,2,2,7,0.1,0.3,1.3,1.0
ALIMENTOS LIBRES EN ENERGIA,Romeo picado,1/2,cucharadita,2,2,6,0.1,0.3,1.1,0.9
ALIMENTOS LIBRES EN ENERGIA,Sal,1,cucharadita,6,6,0,0.0,0.0,0.0,2325.0
ALIMENTOS LIBRES EN ENERGIA,Sal de ajo,1,cucharadita,5,5,4,0.0,0.0,0.8,760.0
ALIMENTOS LIBRES EN ENERGIA,Sal de apio,1,cucharadita,5,5,4,0.0,0.0,0.8,760.0
ALIMENTOS LIBRES EN ENERGIA,Sal de potasio,1,cucharadita,5,5,0,0.0,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Salsa de barbecue,1/2,cucharada,8,8,6,0.1,0.1,1.0,64.9
ALIMENTOS LIBRES EN ENERGIA,Salsa de soya,1,cucharadita,5,5,3,0.4,0.0,0.3,340.8
