grupo,nombre,aporte,cantidad
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Hierro (mg),1.0
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Sodio (mg),37.1
A.O.A.BAJO EN GRASA,Cabeza de carnero cocida,Selenio (mg),18.8
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Cantidad sugerida,495
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Unidad,g
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Peso bruto redondeado (g),495
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Peso neto (g),50
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Energia (Kcal),55
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Proteina (g),7.0
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Lípidos (g),2.8
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Colesterol (mg),32.2
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Calcio (mg),8.4
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Hierro (mg),1.0
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Sodio (mg),37.1
A.O.A.BAJO EN GRASA,Cabeza de cerdo,Selenio (mg),14.1
A.O.A.BAJO EN GRASA,Calamar frito,Cantidad sugerida,35
A.O.A.BAJO EN GRASA,Calamar frito,Unidad,g
A.O.A.BAJO EN GRASA,Calamar frito,Peso bruto redondeado (g),35
A.O.A.BAJO EN GRASA,Calamar frito,Peso neto (g),35
A.O.A.BAJO EN GRASA,Calamar frito,Energia (Kcal),61
A.O.A.BAJO EN GRASA,Calamar frito,Proteina (g),6.3
A.O.A.BAJO EN GRASA,Calamar frito,Lípidos (g),2.6
A.O.A.BAJO EN GRASA,Calamar frito,Hidratos de carbono (g),2.7
A.O.A.BAJO EN GRASA,Calamar frito,Colesterol (mg),91.0
A.O.A.BAJO EN GRASA,Calamar frito,Vitamina A     (µg RE),3.7
A.O.A.BAJO EN GRASA,Calamar frito,Calcio (mg),13.6
A.O.A.BAJO EN GRASA,Calamar frito,Hierro (mg),0.4
A.O.A.BAJO EN GRASA,Calamar frito,Sodio (mg),107.1
A.O.A.BAJO EN GRASA,Calamar frito,Selenio (mg),15.7
A.O.A.BAJO EN GRASA,Carne de cerdo,Cantidad sugerida,40
A.O.A.BAJO EN GRASA,Carne de cerdo,Unidad,g
